#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,i3-gaps,"is the main graphical user interface and window manager."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,i3blocks,"is the status bar."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,newsboat,"is a terminal RSS client."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,xorg-xbacklight,"enables changing screen brightness levels."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs-git,"enables the mounting of cell phones."
,docx2txt,"enables .docx file previews in vifm."
,firefox,"is the only program on LARBS your girlfriend has ever heard of."
,i3lock,"is the screen lock."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
,odt2txt,"enables .odt file previews in vifm."
,pdfjs,"see pdfs in qutebrowser."
,tree,"lists directory contents like trees. Used by vifm."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-ps,"gives zathura the ability to read .ps files."
A,htop-vim-git,"provides system usage information and displays processes."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
,acpilight,"enables changing screen brightness levels."
,bat,"Cat clone with syntax highlighting and git integration."
,diffoscope,"great diff tool."
,docker,"to install containers."
,docker-compose,"to orchestrate containers."
,flameshot,"Powerful yet simple to use screenshot software."
,graphviz,"graph visualization software."
,httpie,"cURL for humans."
,jq,"json query."
,lastpass-cli,"a password manager."
,ldns,"dns tools."
,lsof,"see what files are open for some program."
,moreutils,"a growing collection of the unix tools."
,mps-youtube,"cli youtube."
,noto-fonts,"all fonts for LARBS."
,pacman-contrib,"Contributed scripts and tools for pacman systems."
,pkgfile,"More info for packages."
,playerctl,"control media players."
,perl-anyevent-i3,"for i3-save-tree."
,python-jsbeautifier,"diffoscope js."
,python-neovim,"neovim python api module."
,reflector,"update mirrorlist."
,ripgrep,"ag replacement."
,rofi,"dmenu replacement."
,rsync,"to copy things around."
,shellcheck,"lint sh."
,shfmt,"format sh."
,speedtest-cli,"cli to test internet speed."
,sshfs,"FUSE client based on the SSH File Transfer Protocol."
,strace,"a diagnostic, debugging and instructional userspace tracer."
,sysstat,"monitoring tools."
,terminus-font,"all fonts for tty."
,trash-cli,"Command line trashcan (recycle bin) interface."
,tig,"git ncurses helper."
,transmission-gtk,"torrents."
,vifm,"is an extensive terminal file manager that everyone likes."
,vlc,"Multi-platform MPEG, VCD/DVD, and DivX player."
,vulkan-intel,"Intel's Vulkan mesa driver."
,w3m,"is a terminal browser which can also view images."
,words,"contains dictionaries."
,xf86-video-intel,"X.org Intel i810/i830/i915/945G/G965+ video drivers."
,xorg-xev,"check what input is happening."
,xorg-xinput,"easy way to manage input devices."
,xorg-xkill,"kills a client by its X resource."
,xterm,"good fallback terminal."
,zip,"compressor/archiver for creating and modifying zipfiles."
,zsh,"z shell."
A,ddcutil,"control external monitors."
A,dive-git,"A tool for exploring each layer in a docker image."
A,kitty-git,"is a terminal."
A,libinput-gestures,"gestures with the touchpad."
A,mpv-mpris,"control mpv with playerctl"
A,neovim-git,"a tidier vim with some useful features"
A,neovim-remote,"control neovim from cli."
A,nerd-fonts-iosevka,"iosevka font."
A,nodejs-fx,"command-line tool and terminal JSON viewer."
A,nvm,"Node Version Manager."
A,oh-my-zsh-git,"framework for zsh."
A,python-ueberzug,"generates image previews in ranger and other terminal programs."
A,qutebrowser-git,"a nice browser."
A,reredirect-git,"Tool to dynamicly redirect outputs of a running process"
A,rofi-greenclip,"clipboard manager."
A,wmfocus,"visually focus window by label."
A,xiccd,"display icc profiles."
